INFO 2025-04-27 22:38:46,260 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-27 22:38:46,416 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1732347812.445947
DEBUG 2025-04-27 22:38:46,416 autoreload File E:\python3_7_9\Lib\site-packages\matplotlib\_enums.py first seen with mtime 1696915582.7979016
DEBUG 2025-04-27 22:38:46,416 autoreload File E:\python3_7_9\Lib\site-packages\numpy\version.py first seen with mtime 1693740664.1913981
DEBUG 2025-04-27 22:38:46,416 autoreload File E:\python3_7_9\Lib\wsgiref\__init__.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,417 autoreload File E:\python3_7_9\Lib\selectors.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,417 autoreload File D:\Desktop\middle_requests\middel_req\app01\apps.py first seen with mtime 1745763592.0454438
DEBUG 2025-04-27 22:38:46,417 autoreload File E:\python3_7_9\Lib\html\parser.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,417 autoreload File E:\python3_7_9\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1732347814.7493236
DEBUG 2025-04-27 22:38:46,417 autoreload File E:\python3_7_9\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1692672925.4292035
DEBUG 2025-04-27 22:38:46,417 autoreload File E:\python3_7_9\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1732347814.686492
DEBUG 2025-04-27 22:38:46,417 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\enums.py first seen with mtime 1732347814.7696917
DEBUG 2025-04-27 22:38:46,418 autoreload File E:\python3_7_9\Lib\site-packages\numpy\core\_internal.py first seen with mtime 1693740664.403253
DEBUG 2025-04-27 22:38:46,418 autoreload File E:\python3_7_9\Lib\re.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,418 autoreload File E:\python3_7_9\Lib\asyncio\windows_utils.py first seen with mtime 1597658264.0
DEBUG 2025-04-27 22:38:46,418 autoreload File E:\python3_7_9\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1732347814.6745245
DEBUG 2025-04-27 22:38:46,418 autoreload File E:\python3_7_9\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1732347814.682776
DEBUG 2025-04-27 22:38:46,418 autoreload File E:\python3_7_9\DLLs\_hashlib.pyd first seen with mtime 1597661948.0
DEBUG 2025-04-27 22:38:46,418 autoreload File E:\python3_7_9\Lib\site-packages\django\template\utils.py first seen with mtime 1732347814.8452024
DEBUG 2025-04-27 22:38:46,419 autoreload File E:\python3_7_9\Lib\site-packages\numpy\compat\_inspect.py first seen with mtime 1693740664.3952742
DEBUG 2025-04-27 22:38:46,419 autoreload File E:\python3_7_9\Lib\site-packages\django\views\debug.py first seen with mtime 1732347814.9221997
DEBUG 2025-04-27 22:38:46,419 autoreload File E:\python3_7_9\Lib\site-packages\numpy\ma\core.py first seen with mtime 1693740664.6972005
DEBUG 2025-04-27 22:38:46,419 autoreload File E:\python3_7_9\Lib\tempfile.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,419 autoreload File E:\python3_7_9\Lib\email\mime\text.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,419 autoreload File E:\python3_7_9\Lib\email\_policybase.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,420 autoreload File E:\python3_7_9\Lib\importlib\util.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,420 autoreload File E:\python3_7_9\Lib\site-packages\django\core\management\base.py first seen with mtime 1732347814.6954696
DEBUG 2025-04-27 22:38:46,420 autoreload File E:\python3_7_9\Lib\inspect.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,420 autoreload File E:\python3_7_9\Lib\site-packages\numpy\polynomial\hermite_e.py first seen with mtime 1693740664.7219956
DEBUG 2025-04-27 22:38:46,420 autoreload File E:\python3_7_9\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1732347814.750321
DEBUG 2025-04-27 22:38:46,420 autoreload File E:\python3_7_9\Lib\email\quoprimime.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,421 autoreload File E:\python3_7_9\Lib\site-packages\PIL\ImageFile.py first seen with mtime 1694687309.1701303
DEBUG 2025-04-27 22:38:46,421 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1732347814.782657
DEBUG 2025-04-27 22:38:46,421 autoreload File E:\python3_7_9\Lib\site-packages\django\template\__init__.py first seen with mtime 1732347814.8372235
DEBUG 2025-04-27 22:38:46,421 autoreload File E:\python3_7_9\Lib\site-packages\numpy\core\_ufunc_config.py first seen with mtime 1693740664.4371967
DEBUG 2025-04-27 22:38:46,421 autoreload File E:\python3_7_9\Lib\sre_parse.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,421 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1732347812.865546
DEBUG 2025-04-27 22:38:46,422 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1732347814.0087705
DEBUG 2025-04-27 22:38:46,422 autoreload File E:\python3_7_9\Lib\site-packages\django\core\wsgi.py first seen with mtime 1732347814.665548
DEBUG 2025-04-27 22:38:46,422 autoreload File E:\python3_7_9\Lib\urllib\parse.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,422 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1732347812.4499357
DEBUG 2025-04-27 22:38:46,422 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\manager.py first seen with mtime 1732347814.7736826
DEBUG 2025-04-27 22:38:46,422 autoreload File E:\python3_7_9\Lib\unittest\runner.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,423 autoreload File E:\python3_7_9\Lib\site-packages\PIL\_util.py first seen with mtime 1694687309.261883
DEBUG 2025-04-27 22:38:46,423 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1732347814.7686946
DEBUG 2025-04-27 22:38:46,423 autoreload File E:\python3_7_9\Lib\site-packages\django\shortcuts.py first seen with mtime 1732347812.0841277
DEBUG 2025-04-27 22:38:46,423 autoreload File E:\python3_7_9\Lib\site-packages\django\template\base.py first seen with mtime 1732347814.8384495
DEBUG 2025-04-27 22:38:46,423 autoreload File E:\python3_7_9\Lib\importlib\__init__.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,423 autoreload File E:\python3_7_9\Lib\site-packages\pyparsing\testing.py first seen with mtime 1692672936.374244
DEBUG 2025-04-27 22:38:46,423 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1732347813.048573
DEBUG 2025-04-27 22:38:46,423 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1732347814.7846515
DEBUG 2025-04-27 22:38:46,424 autoreload File E:\python3_7_9\Lib\token.py first seen with mtime 1597658266.0
