name,data,auther
疯狂动物城,上映时间：2016-03-04,"主演：金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴"
飞越疯人院,上映时间：1975-11-19(美国),"主演：杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森"
天使爱美丽,上映时间：2001-04-25(比利时),"主演：奥黛丽·塔图,马修·卡索维茨,吕菲斯"
低俗小说,上映时间：1994-05-21(法国),"主演：约翰·特拉沃尔塔,乌玛·瑟曼,塞缪尔·杰克逊"
大话西游之大圣娶亲,上映时间：2014-10-24,"主演：周星驰,朱茵,莫文蔚"
蝴蝶效应,上映时间：2004-01-23(美国),"主演：约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特"
无间道,上映时间：2003-09-05,"主演：刘德华,梁朝伟,黄秋生"
罗马假日,上映时间：1953-08-20(意大利),"主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特"
釜山行,上映时间：2016-05-13 00:00:00(法国),"主演：孔刘,郑裕美,马东锡"
春光乍泄,上映时间：1997-05-30(中国香港),"主演：张国荣,梁朝伟,张震"
爱在日落黄昏时,上映时间：2015-04-20,"主演：伊桑·霍克,朱莉·德尔佩,弗农·多布切夫"
